Link,Title,Image,Price,Categories
https://candytshirt.com/tees/warning-this-asshole-does-not-play-well-with-stupid-people-shirt/,Warning This Asshole Does Not Play Well With Stupid People,https://candytshirt.com/tee/2019/09/20864834-Warning-This-Asshole-Does-Not-Play-Well-With-Stupid-People-Shirt-men-s-t-shirt-white-front.jpg,19.85,Trend Shirt
https://candytshirt.com/tees/the-one-where-we-teach-pre-k-shirt/,The One Where We Teach Pre-k,https://candytshirt.com/tee/2019/09/20932924-The-One-Where-We-Teach-Pre-K-Shirt-men-s-t-shirt-black-front.jpg,19.85,Trend Shirt
https://candytshirt.com/tees/the-one-where-we-teach-preschool-shirt/,The One Where We Teach Preschool,https://candytshirt.com/tee/2019/09/20932926-The-One-Where-We-Teach-Preschool-Shirt-men-s-t-shirt-black-front.jpg,19.85,Trend Shirt
https://candytshirt.com/tees/the-one-where-we-teach-kindergarten-shirt/,The One Where We Teach Kindergarten,https://candytshirt.com/tee/2019/09/20932925-The-One-Where-We-Teach-Kindergarten-Shirt-men-s-t-shirt-black-front.jpg,19.85,Trend Shirt
